id,alias
iatM6gHHt4KJu5UnLNUFWQ,rio-combat-team-utah-saratoga-springs
gb4y9xIPunBeY9N4CS1Z5Q,yogavega-saratoga-springs
Pe8U2NbCpv5UgeErd59KQQ,core-7-fitness-sandy-salt-lake-city
OfXRw_PXS6iZs9SkZj_i8w,
TrOs-2s6i2j7WhXb2LDqpQ,brick-canvas-fitness-lehi-5
yUVNeKE67TEEHuwCbJ3k7g,club-pilates-saratoga-springs
CyMdvN7ZATl1wCx9dRGKtw,ning-tae-kwon-do-school-eagle-mountain
4FX2j2UppXz8krReL5uV-Q,the-ranches-fitness-eagle-mountain
5m84PyIcTX_7NHHJ_EYvCw,
srhji5dNSwbX-myTsex6bg,valkyrie-training-saratoga-springs
XRh7jL-vh86G7ddM5QtWIQ,freeplay-saratoga-springs
zri9bx67MF3e0WJSo49sZw,park-city-jiu-jitsu-lehi-2
IA17PJm9A6SLghBN1AoDVQ,
SpHGQebgMxB7drM2nzcApg,rage-fitness-lehi
OLoqZU3GqhHKUagYfpUiVw,bobby-lawrence-karate-saratoga-springs
CbZzsj4JZDZTAiAtuLLlpA,saratoga-springs-crossfit-saratoga-springs
OdmBJUxHCNEbVKknAs_caw,vasa-fitness-saratoga-springs-saratoga-springs-4
p31pd9nYVJHP9JHChuoXuA,f45-training-traverse-mountain-lehi
jWDS6PAEgMlG0kuHHkkvJA,international-martial-arts-academy-saratoga-springs
yPShtX9Op68QeOszXNsrTg,
xRxhT3Lk9dDx_4Pcyy4ZfQ,
fCKK06SAYx78iRME2WlAjw,peak-fit-lehi
6cKzI0L-RcA0zzU_jQS-kA,
ZT1R2I-19WT5-KR9y6Hc6g,
wu5rEpU-gmRrCi7ALQw6Mw,
wHalRgv8xL-kbhIVoCS2jg,
Fp_5L5T-8x5LnKCeRqgYjA,
bmrvOotzmPxIzHI_ex5Ekw,
RCskqlUyJAtgfKF4sO7zog,
VG8qAsVupV_egMBw5mHpaA,
zlUpC7QDw7sCCNsgwQ4u5w,l8r-lifestyle-south-jordan
PQ598DloUsKXAm59zvwULw,orangetheory-fitness-south-jordan-south-jordan-2
AMupsdwhvpzt0NPoE16YOg,suvita-hot-yoga-south-jordan-salt-lake-city
BcJceAv9R630i-G5t3P5Vg,south-jordan-fitness-and-aquatic-center-south-jordan
Ku4vri6IDUacycnXgAYu9g,gracie-jiujitsu-south-jordan-south-jordan
kb2K9T2W2sHwGUcyw1Bd4w,trumotion-south-jordan-south-jordan-2
f-6VHbtBLvLujoCz0rOjGQ,planet-fitness-south-jordan
LUpahPVj4PPjx16HJZay-A,legends-boxing-riverton-riverton-7
CKfaS2VWHYu3KYMzitXa9A,championship-martial-arts-west-jordan
cJFIgSJW55gbzaTFybwgxA,bobby-lawrence-karate-herriman
P795GZKU4xQEhUpr1ecxgQ,eōs-fitness-south-jordan-4
