name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
Fruita Health Club,81521,39.1520280167922,-108.725432194769,3.7,3,gyms,0,123678.32320514758,,,,,
Fighting Tigers Tae Kwon Do,81504,39.0768292,-108.5009152,5.0,1,taekwondo,0,140102.95400785195,,,,,
Mesa Fitness Clifton,81520,39.089711150532025,-108.4531091424066,2.0,4,gyms,0,140247.08386804114,,,,,
Grip Bouldering,81505,39.10801,-108.63745,0.0,0,climbing,0,131167.4578026832,,,,,
Gold's Gym,81520,39.089793318343425,-108.4534919676297,2.6,7,gyms,0,140222.7159930144,,,,,
The Zen Den Fruita Yoga Studio,81521,39.15873277816232,-108.7327871,0.0,0,yoga,0,122748.96368285282,,,,,
Personal Training And Massage By Erika,81521,39.1599173,-108.7332279,1.0,1,massage_therapy,0,122612.61353302163,,,,,
Fit 4:13,81521,39.159201,-108.731883,0.0,0,gyms,0,122735.9262755078,,,,,
The Lab,81505,39.10981,-108.60197,0.0,0,healthtrainers,0,132285.62623142,,,,,
Professional Self Defense Institute,81505,39.090598,-108.590076,0.0,0,selfdefenseclasses,0,134681.49339471353,,,,,
FIT Grand Junction,81505,39.09228433,-108.592845,0.0,0,gyms,0,134377.9142170962,,,,,
QC Kinetix - Grand Junction,81506,39.09239,-108.56303,0.0,0,alternativemedicine,0,135525.2107237085,,,,,
Om Sound Yoga,81506,39.10632706,-108.55098724,0.0,0,reiki,0,129055.21662754321,,,,,
Out West Training,81521,39.15994627817167,-108.7340926,0.0,0,healthtrainers,0,122581.66949138523,,,,,
970Muscle,81505,39.092500526960606,-108.5911213294478,0.0,0,gyms,0,134427.00026432824,,,,,
Gorilla Garage Grappling Academy,81635,39.443216,-108.024229,0.0,0,selfdefenseclasses,0,134644.81519854622,,,,,
Six Eagles Haven,81643,39.15667667,-108.11515133,0.0,0,yoga,0,151050.59772170204,,,,,
Inspire-I Yoga,81504,39.08216857910156,-108.49055480957033,0.0,0,yoga,0,138710.04549725226,,,,,
Motivate Fitness,81521,39.153993302408765,-108.72853687704988,0.0,0,healthtrainers,0,123375.03474311344,,,,,
Curves,81505,39.09234,-108.59568,0.0,0,weightlosscenters,0,134187.9317788389,,,,,
Bungeeone,81505,39.103438708171126,-108.62726245100733,0.0,0,gyms,0,132001.91221966475,,,,,
Zone Fitness,81506,39.11663,-108.53877,0.0,0,nutritionists,0,134056.73854065174,,,,,
Powerhouse Gym Grand Junction,81505,39.09217,-108.59705,0.0,0,gyms,0,133544.46842428198,,,,,
Western Colorado U S T F,81505,39.0900115966797,-108.585083007812,0.0,0,martialarts,0,134892.0857470755,,,,,
Gracie Jiu Jitsu,81505,39.091188812030445,-108.60348481721768,0.0,0,martialarts,0,134101.36092111855,,,,,
