name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
Shihan Ron Bennetts White Dragons of Bushido,84405,41.1957702636719,-111.983917236328,0.0,0,martialarts,0,11093.35487955168,34931.0,84488.0,4570.0,32.3,13.082934928859752
Fit Eudemonia Training,84037,41.02766171582512,-111.9081116993889,0.0,0,healthtrainers,0,15854.86469670934,39316.0,130258.0,7756.0,34.1,19.727337470749823
Red Light Method,84041,41.060568,-111.946187,0.0,0,weightlosscenters,0,11173.428052938523,54750.0,87608.0,6406.0,30.7,11.700456621004566
SLC Strength & Conditioning,84106,40.700569337208314,-111.85126656864776,5.0,8,intervaltraininggyms,0,62950.95790402333,33791.0,94452.0,8406.0,35.7,24.876446391050873
Shred415 Millcreek,84106,40.702547,-111.8525593,5.0,8,gyms,0,62944.18797279582,33791.0,94452.0,8406.0,35.7,24.876446391050873
Ritual Hot Yoga - Salt Lake City,84106,40.69236230398099,-111.8487055523654,4.8,20,yoga,0,63196.08457171889,33791.0,94452.0,8406.0,35.7,24.876446391050873
OBSIDIAN FITNESS,84109,40.7001661303572,-111.8196208,4.6,8,gyms,0,60631.29336891705,25879.0,136823.0,6598.0,35.8,25.49557556319796
CorePower Yoga - Highlands SLC,84106,40.702428,-111.85247,4.5,48,yoga,0,62943.71027240335,33791.0,94452.0,8406.0,35.7,24.876446391050873
K Effect Training,84106,40.70291,-111.85916,4.4,19,gyms,0,63437.12928442172,33791.0,94452.0,8406.0,35.7,24.876446391050873
UTE Crossfit,84106,40.7003648,-111.87325150429918,4.7,15,intervaltraininggyms,0,64602.75224373399,33791.0,94452.0,8406.0,35.7,24.876446391050873
Orangetheory Fitness,84117,40.66947,-111.82415,4.5,26,bootcamps,0,62694.75758790705,24873.0,87451.0,5831.0,41.1,23.443090901781048
Iron Allies Fitness,84115,40.687680274504466,-111.883243,4.6,24,healthtrainers,0,66004.11299028873,28411.0,61505.0,4155.0,33.9,14.62461722572243
First BJJ - Carlson Gracie Utah,84117,40.6516290857246,-111.851123265082,5.0,9,selfdefenseclasses,0,65675.77834621943,24873.0,87451.0,5831.0,41.1,23.443090901781048
