category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
personal_training,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,1,8,75313.33333333333,0.2928073954782172,11738.777777777777,0.601588439863031,Sd8a575GjLRu52C8YiTujg,Adam Tischler,84062,40.4154205322266,-111.764831542969
general_gym,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,1,16,75313.33333333333,0.2928073954782172,6214.64705882353,0.6799378890944546,MNHAheo6ZTgLpmGFLTtVYg,Crossfit hyperion,84062,40.37088,-111.76829
personal_training,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,1,17,30328.571428571428,0.5190491020450535,7053.777777777777,0.6656836091915219,a3goIpfFbEN5mYS7KHkE2A,The Muscle Bus,84095,40.55238,-111.90678
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,4,16,67605.0,0.3308375413546927,7078.235294117647,0.6517328553768931,FwnhsULy6VYnxbPC3ETv3Q,The Training Room,84003,40.361566,-111.78352
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,6,13,67605.0,0.3308375413546927,8595.0,0.5938739478485038,f5k6pzG_rbJWLcVJOlfMTw,Anytime Fitness,84003,40.43385,-111.78549
other,0,65548.0,434700.0,33.0,15.275950418946058,34.35703898621979,28882.0,7,53,52226.31578947369,0.6232255383976179,1213.851851851852,0.6488243744103859,ERn3jyYtxIuQnfosJKSxTw,Peak State Fit,84115,40.7224327,-111.8749404
martial_arts,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,5,17,67605.0,0.3308375413546927,6685.0,0.6099378890944547,L3F2qT7zc_Thp1603wcgGQ,Lawrence Championship Martial Arts,84003,40.3716269,-111.7810942
general_gym,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,12,93995.65217391304,0.24889693404231247,9988.615384615385,0.6488243744103859,4xZTbIW9rCZWMt4ez2b0IA,Core Fit Studio,84043,40.384176,-111.8341285
other,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,12,93995.65217391304,0.24889693404231247,9988.615384615385,0.6197787785200128,CQfvjLuDJuEDjqLmS-dNeQ,The Ninja Playground,84043,40.384176,-111.8341285
other,0,120408.0,746600.0,39.8,21.491441461364943,16.878234331460924,22609.0,15,37,95400.0,0.13269052147374938,3168.6315789473683,0.601588439863031,wibKw2Ml8IaMB8JK_1SQ6w,Embodied Patience,84124,40.69806,-111.85405
other,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,3,19,75313.33333333333,0.2928073954782172,5282.45,0.6281903386569818,e8HM7icP_42ML-49h0V45g,Work Training Studio,84062,40.354793,-111.772739
mind_body,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,0,12,75313.33333333333,0.2928073954782172,8126.846153846154,0.601588439863031,7SINTlLb9QSFq619CEEWtA,Bhakti House,84062,40.35693,-111.71133
personal_training,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,4,16,67605.0,0.3308375413546927,7078.235294117647,0.5640951693284909,8ep5qd3m0ZQCewhkESZ9Og,KmacFit,84003,40.36155077393842,-111.78351965058349
general_gym,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,4,16,75313.33333333333,0.2928073954782172,6214.64705882353,0.5640951693284909,St0JPrOw7925JXlTtbuZYQ,THE BOX,84062,40.3543,-111.73993
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,8,17,67605.0,0.3308375413546927,6685.0,0.6322855079854729,gtDQp-XEbwPxiCwmsz59JQ,Orangetheory Fitness,84003,40.36725,-111.78541
general_gym,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,1,1,93995.65217391304,0.24889693404231247,64926.0,0.5940330584229456,gr_rtqlIAQNX3aM1NzUs2g,Orangetheory Fitness,84043,40.43125,-111.82546
